stock,timestamp,open,high,low,close,volume
VEDL,2010-02-26,343.7000,404.9500,0.0000,400.3500,74885645
VEDL,2010-01-29,411.1000,424.0000,332.1500,346.7500,77274656
VEDL,2009-12-31,376.0000,439.7000,362.2000,410.8000,86537473
VEDL,2009-11-30,304.4500,382.7000,280.0000,368.2500,151545900
VEDL,2009-10-30,266.0000,365.0000,261.4000,302.4500,212583626
VEDL,2009-09-30,215.1000,284.8000,208.0000,265.7000,169011617
VEDL,2009-08-31,242.0500,258.7500,210.0000,212.3000,184920393
VEDL,2009-07-31,185.4000,247.4000,175.0500,241.0000,182076263
VEDL,2009-06-30,168.0000,225.9000,150.0000,182.6000,313156642
VEDL,2009-05-29,116.0000,184.7000,115.0000,165.4000,139035937
VEDL,2009-04-30,101.0000,126.9000,97.1000,111.5000,122411320
VEDL,2009-03-31,80.0000,110.4000,71.0500,99.6000,128507376
VEDL,2009-02-27,84.0000,103.2000,77.5500,81.0000,109256309
VEDL,2009-01-30,93.8000,98.2500,66.1500,84.9500,80625676
VEDL,2008-12-31,73.5000,89.0000,68.0000,85.8500,95240072
VEDL,2008-11-28,83.2000,92.3500,0.0000,74.6500,121697424
VEDL,2008-10-31,120.7500,122.4500,63.6000,80.6000,104549472
VEDL,2008-09-30,157.0000,158.9000,99.3000,119.8500,212059016
VEDL,2008-08-29,164.2500,184.8000,151.0000,158.5000,119999469
VEDL,2008-07-31,172.3400,177.1000,132.5000,168.6350,208602100
VEDL,2008-06-30,215.0000,216.5000,158.0000,169.2650,182888700
VEDL,2008-05-30,214.0000,220.0000,193.5000,214.6020,173650480
VEDL,2008-04-30,157.5500,218.0000,132.2000,210.8220,151642840
VEDL,2008-03-31,167.1500,181.5000,140.0000,157.5770,98054180
VEDL,2008-02-29,153.9750,176.0000,140.0000,173.2320,65417600
VEDL,2008-01-31,191.0000,198.4500,96.2500,151.9170,65090800
VEDL,2007-12-31,174.5000,196.2000,171.9430,191.0600,46987460
VEDL,2007-11-30,192.4500,194.9500,160.6250,172.5350,86557600
VEDL,2007-10-31,127.5000,197.0000,117.5550,186.6170,117516940
VEDL,2007-09-28,97.0300,127.7000,96.4500,126.2130,106722000
VEDL,2007-08-31,89.1750,97.7500,84.5050,97.2150,28827120
VEDL,2007-07-31,89.4975,98.2350,88.2550,90.0550,38866400
VEDL,2007-06-29,84.4000,91.0000,77.5050,88.8300,42829080
VEDL,2007-05-31,89.7500,90.5000,81.1025,83.8550,54809020
VEDL,2007-04-30,85.2575,92.5000,80.9150,89.0900,210422160
VEDL,2007-03-30,90.4500,92.2500,74.2500,85.1725,291144380
VEDL,2007-02-28,95.7500,101.2000,87.7500,89.1475,207120740
VEDL,2007-01-31,70.7500,99.9000,70.0050,94.8350,220018400
VEDL,2006-12-29,63.5000,79.9500,56.2500,70.5500,58710580
VEDL,2006-11-30,59.7500,66.1500,56.0000,63.2075,75306360
VEDL,2006-10-31,49.2500,62.9000,49.2500,59.4150,72960940
VEDL,2006-09-29,47.8500,50.3875,46.3700,48.7875,40707280
VEDL,2006-08-31,48.2000,53.0000,44.9500,47.6975,42285020
VEDL,2006-07-31,56.2000,57.0500,42.2500,48.4500,64512080
VEDL,2006-06-30,63.2500,63.4500,40.4500,55.8450,108709580
VEDL,2006-05-31,66.2500,80.7500,51.2550,60.9675,119339360
VEDL,2006-04-28,64.7000,71.3000,52.5500,62.4175,56765720
VEDL,2006-03-31,56.7500,64.7000,52.5000,64.2350,97977900
VEDL,2006-02-28,53.3000,56.9400,48.2500,56.3900,89255500
VEDL,2006-01-31,52.4500,53.5000,46.4500,52.9500,84487260
VEDL,2005-12-30,50.7500,57.1450,48.1500,50.5400,146866440
VEDL,2005-11-30,48.0000,52.8400,0.0000,51.3125,252180460
VEDL,2005-10-31,52.5000,54.7400,40.5000,47.1825,368606460
VEDL,2005-09-30,36.5000,54.4925,33.8325,52.4950,502788000
VEDL,2005-08-31,35.7450,38.7225,33.3650,36.3400,120474080
VEDL,2005-07-29,29.2500,36.6400,0.0000,35.7125,261357740
VEDL,2005-06-30,33.5125,33.6800,28.2775,28.9600,280301060
VEDL,2005-05-31,34.6000,35.5000,30.5875,32.7550,273997020
VEDL,2005-04-29,37.4350,45.0000,32.5525,34.3100,295136820
VEDL,2005-03-31,41.3400,44.1000,35.2500,36.5850,322800820
VEDL,2005-02-28,33.2500,43.5850,32.6250,40.7000,585399240
VEDL,2005-01-31,25.9750,33.7500,21.7237,32.9475,301817600
VEDL,2004-12-31,20.3250,26.4963,19.7500,25.8200,437449280
VEDL,2004-11-30,18.8025,21.5000,0.0000,20.2250,355632680
VEDL,2004-10-29,15.8750,19.7500,0.0000,18.8000,652853720
VEDL,2004-09-30,14.1862,16.0700,13.6888,15.9075,570799400
VEDL,2004-08-31,13.5750,14.5938,13.1362,14.0825,699647680
VEDL,2004-07-30,9.6275,13.6125,8.3800,13.4500,617611480
VEDL,2004-06-30,9.0000,10.5000,7.9512,9.6163,207923200
VEDL,2004-05-31,10.6000,11.3000,7.0625,8.8462,134609120
VEDL,2004-04-30,12.0000,13.5913,0.0000,10.4487,103915840
VEDL,2004-03-31,14.7013,16.1200,0.0000,11.9625,80484000
VEDL,2004-02-27,0.0000,18.1250,0.0000,14.5913,68340720
VEDL,2004-01-30,15.1050,17.5000,0.0000,15.1175,93002920
VEDL,2003-12-31,11.2175,16.1175,0.0000,14.8350,163426200
VEDL,2003-11-28,7.7562,11.3425,0.0000,11.0375,240617320
VEDL,2003-10-31,7.5512,7.9225,0.0000,7.7750,182650160
VEDL,2003-09-30,5.3550,7.6688,5.1750,7.5912,382875880
VEDL,2003-08-29,4.3500,5.7500,0.0000,5.2650,218453080
VEDL,2003-07-31,4.2250,5.0875,3.9388,4.2912,204119360
VEDL,2003-06-30,3.2250,4.2975,3.2000,4.1487,150438160
VEDL,2003-05-30,0.0000,3.6963,0.0000,3.3350,173332800
VEDL,2003-04-30,1.5625,2.2450,0.0000,2.0562,42628680
VEDL,2003-03-31,1.8075,1.8225,0.0000,1.5337,9482560
VEDL,2003-02-28,1.6625,1.9425,0.0000,1.7862,19789000
VEDL,2003-01-31,1.7725,1.9950,1.5188,1.6338,52178560
VEDL,2002-12-31,1.7225,1.8500,0.0000,1.7237,36873120
VEDL,2002-11-29,1.5750,1.7425,0.0000,1.6875,39175880
VEDL,2002-10-31,1.9975,2.1500,0.0000,1.6400,23452160
VEDL,2002-09-30,2.1050,2.3563,0.0000,1.9900,53004040
VEDL,2002-08-30,1.9550,2.4450,0.0000,2.0850,34085880
VEDL,2002-07-31,3.1200,3.1200,1.8750,1.9325,143744760
VEDL,2002-06-28,1.7500,3.0663,1.7463,2.9762,381244560
VEDL,2002-05-31,0.0000,1.8838,0.0000,1.7138,75969120
VEDL,2002-04-30,1.1500,1.5675,1.1500,1.4463,23361800
VEDL,2002-03-29,1.1825,1.3475,0.0000,0.0000,6837000
VEDL,2002-02-28,1.2000,1.3750,1.1525,1.2012,6646800
VEDL,2002-01-31,1.2750,1.3250,1.1625,1.1938,5671320
VEDL,2001-12-31,1.4013,1.5750,0.0000,1.2512,12349800
VEDL,2001-11-30,1.1475,1.5962,0.0000,0.0000,22581800
VEDL,2001-10-31,1.2000,1.3000,0.0000,1.1338,7319640
VEDL,2001-09-28,1.3875,1.4863,1.0750,1.2250,5617040
VEDL,2001-08-31,1.3025,1.3950,0.0000,1.3762,4711680
VEDL,2001-07-31,1.3000,1.3725,1.2000,1.3062,4620880
VEDL,2001-06-29,1.5613,1.5900,1.1663,1.2675,60580880
VEDL,2001-05-31,0.0000,1.6600,0.0000,1.5388,36542040
VEDL,2001-04-30,1.3075,1.8000,0.0000,1.5425,7772120
VEDL,2001-03-30,2.1212,2.2363,0.0000,1.3225,12028160
VEDL,2001-02-28,2.4487,2.8500,2.0000,2.0850,76961680
VEDL,2001-01-31,1.8162,2.6500,0.0000,2.5088,45976000
VEDL,2000-12-29,1.8875,2.4675,0.0000,1.8462,67195280
VEDL,2000-11-30,0.9812,1.8425,0.9812,1.8425,14544640
VEDL,2000-10-31,0.0000,1.1375,0.0000,0.9825,1778480
VEDL,2000-09-29,0.0000,1.4500,0.0000,1.1025,6742320
VEDL,2000-08-31,1.3050,1.3050,0.0000,1.1238,6746880
VEDL,2000-07-31,1.3900,1.6750,1.2275,1.2412,5895760
VEDL,2000-06-30,1.3262,1.5750,1.2750,1.3787,5594680
VEDL,2000-05-31,0.0000,1.4500,0.0000,1.3538,5859640
VEDL,2000-04-28,1.7375,1.7375,0.0000,1.4038,10523480
VEDL,2000-03-31,1.8200,1.8425,0.0000,1.6125,12254920
VEDL,2000-02-29,2.2750,2.6250,1.6763,1.7588,7484320
VEDL,timestamp,open,high,low,close,volume
GAIL,2018-08-31,377.0000,399.4000,353.7000,372.2000,115621969
GAIL,2018-07-31,340.3500,386.5000,332.6500,375.1500,85756359
GAIL,2018-06-29,349.2000,349.5000,315.5500,340.2500,83124984
GAIL,2018-05-31,326.1000,353.0500,298.7500,350.9000,106375042
GAIL,2018-04-30,331.0000,342.7500,320.5000,325.1000,55554512
GAIL,2018-03-28,343.5000,347.7370,309.1000,328.5500,93971131
GAIL,2018-02-28,358.5000,371.8500,329.2880,343.1250,77119168
GAIL,2018-01-31,377.1000,379.9870,335.3250,358.9500,98005442
GAIL,2017-12-29,352.5750,389.6250,336.9750,374.7370,124487487
GAIL,2017-11-30,351.6750,359.4000,330.7880,351.3000,101057906
GAIL,2017-10-31,319.1250,359.5130,316.5000,348.9000,113352336
GAIL,2017-09-29,284.0250,321.7500,281.4750,314.2880,129519036
GAIL,2017-08-31,283.1250,292.8750,266.8120,283.7250,71806634
GAIL,2017-07-31,271.5000,294.9750,266.6250,282.5620,69352078
GAIL,2017-06-30,310.5000,311.2500,259.9870,271.0870,78459348
GAIL,2017-05-31,318.0000,325.2750,274.1250,310.5000,89776499
GAIL,2017-04-28,282.7500,318.3750,282.7500,317.9620,80495576
GAIL,2017-03-31,291.4030,300.4590,274.9870,282.7120,201139339
GAIL,2017-02-28,264.2060,298.5750,260.7750,290.7560,101759042
GAIL,2017-01-31,247.5000,277.7630,244.1250,263.3340,112439060
GAIL,2016-12-30,239.6250,250.5380,230.9910,247.0500,67139457
GAIL,2016-11-30,243.4500,256.5000,225.5620,238.9220,74985846
GAIL,2016-10-28,209.7840,253.6880,208.9970,243.7880,90430421
GAIL,2016-09-30,215.4380,229.3310,201.2340,210.7410,83651540
GAIL,2016-08-31,214.8750,219.2620,203.7660,215.9440,66765403
GAIL,2016-07-29,218.2500,226.5750,210.6840,214.7340,56477456
GAIL,2016-06-30,208.3780,220.5560,203.4000,216.6470,55379193
GAIL,2016-05-31,202.5000,221.9620,200.5590,208.3780,65873577
GAIL,2016-04-29,199.4910,211.8940,188.3810,202.6970,40898620
GAIL,2016-03-31,172.4060,207.2810,170.8310,200.4750,54697967
GAIL,2016-02-29,207.0000,209.9250,163.2940,171.6470,58482155
GAIL,2016-01-29,210.7970,214.3120,185.1190,207.3370,54457894
GAIL,2015-12-31,204.7500,212.5690,187.6500,210.9940,63526646
GAIL,2015-11-30,174.3750,208.5750,155.3340,204.0190,68271713
GAIL,2015-10-30,171.7030,186.5530,164.2500,173.5030,30096446
GAIL,2015-09-30,167.0620,175.2750,153.0000,170.0440,42680910
GAIL,2015-08-31,199.6880,199.9690,146.2780,166.5560,69670967
GAIL,2015-07-31,220.5000,225.6750,192.9940,199.6590,44095277
GAIL,2015-06-30,219.3470,235.0690,207.6750,220.6130,41346202
GAIL,2015-05-29,203.6250,225.5620,201.0090,218.7280,42836159
GAIL,2015-04-30,218.7560,233.2970,198.7590,202.6690,38529274
GAIL,2015-03-31,232.3120,233.4380,209.3340,218.1370,55603422
GAIL,2015-02-28,238.0500,249.1590,0.0000,0.0000,49673721
GAIL,2015-01-30,249.1880,253.6030,232.0870,237.9380,65520811
